CUSTOMER_ID, CREDIT_TXN_COUNT_AFTER_DEMONITIZATION, DEBIT_TXN_COUNT_AFTER_DEMONITIZATION, IS_FRAUDULANT
5000001,68,169,0
5000002,67,169,0
5000003,68,169,0
5000004,67,169,0
5000005,68,169,0
5000006,68,167,0
5000007,68,168,0
5000008,67,170,0
5000009,67,169,0
5000010,67,168,0
5000011,67,168,0
5000012,67,169,0
5000013,68,168,0
5000014,68,169,0
5000015,67,169,0
5000016,66,169,1
5000017,67,170,0
5000018,67,170,0
5000019,67,170,0
5000020,68,168,0
5000021,68,169,0
5000022,68,168,0
5000023,67,168,0
5000024,67,169,0
5000025,67,167,0
5000026,68,167,0
5000027,67,169,0
5000028,66,167,1
5000029,67,169,0
5000030,68,166,0
5000031,201,405,1
5000032,203,402,1
5000033,199,402,1
5000034,203,406,1
5000035,201,404,1
5000036,201,404,1
5000037,202,405,1
5000038,203,404,1
5000039,200,404,1
5000040,200,403,1
5000041,202,403,1
5000042,204,405,1
5000043,202,404,1
5000044,202,403,1
5000045,204,407,1
5000046,203,403,1
5000047,200,401,1
5000048,202,406,1
5000049,199,405,1
5000050,203,405,1
5000051,204,405,1
5000052,200,403,1
5000053,202,404,1
5000054,202,405,1
5000055,200,407,1
5000056,203,401,1
5000057,203,406,1
5000058,204,403,1
5000059,202,403,1
5000060,201,404,1
5000061,202,407,1
5000062,200,406,1
5000063,204,406,1
5000064,202,407,1
5000065,203,405,1
5000066,203,405,1
5000067,201,405,1
5000068,201,403,1
5000069,202,405,1
5000070,202,407,1
5000071,501,1009,1
5000072,500,1010,1
5000073,502,1011,1
5000074,505,1012,1
5000075,505,1012,1
5000076,507,1012,1
5000077,504,1008,1
5000078,508,1011,1
5000079,508,1013,1
5000080,505,1009,1
5000081,505,1003,1
5000082,508,1014,1
5000083,504,1004,1
5000084,502,1007,1
5000085,507,1009,1
5000086,506,1012,1
5000087,508,1013,1
5000088,504,1012,1
5000089,506,1012,1
5000090,507,1005,1
5000091,506,1010,1
5000092,504,1009,1
5000093,507,1006,1
5000094,504,1005,1
5000095,504,1009,1
5000096,506,1010,1
5000097,506,1013,1
5000098,507,1009,1
5000099,505,1014,1
5000100,504,1007,1
